Smiles;IC50 (nM);pIC50 (M);pIC50
O=C(O)CC1CCC(c2ccc(-c3ccc4nc(C(=O)Nc5ccc(Cl)c(Cl)c5)cn4c3)cc2)CC1;9.9;9.9E-09;8.004364805
N#Cc1ccc(NC(=O)Nc2ccc(-c3ccc(C(=O)[C@@H]4CCC[C@H]4C(=O)O)cc3)cc2)cc1;603;0.000000603;6.219682688
CC(NC(=O)c1cn2cc(-c3ccc(C4CCC(CC(=O)O)CC4)cc3)ccc2n1)c1ccccc1;30.1;3.01E-08;7.521433504
CCOc1ccc(C(=O)NCCNC(=O)c2cn(-c3cccc(OCC)c3)nc2C(F)(F)F)cc1;600;0.0000006;6.22184875
CCOc1cccc(C(=O)NCCNC(=O)c2cn(-c3ccccc3)nc2C(F)(F)F)c1;5100;0.0000051;5.292429824
O=C(O)CC1CCC(c2ccc(-c3ccc4nc(C(=O)NCc5ccc(F)c(Cl)c5)cn4c3)cc2)CC1;12.2;1.22E-08;7.913640169
Cc1cc(CCC(=O)O)cc(C)c1-c1nc2ccc(C(=O)Nc3ccc(C(C)(C)C)cc3)cc2[nH]1;390;0.00000039;6.408935393
CC(C)NC(=O)C(C)(C)COc1nnc(-c2ccc(NC(=O)c3ccc4ccccc4c3)cc2)n1C;2340;0.00000234;5.630784143
CC(C)(NC(=O)c1cn2cc(-c3ccc(C4CCC(CC(=O)O)CC4)cc3)ccc2n1)c1ccc(F)cc1;1.2;1.2E-09;8.920818754
O=C(NCCNC(=O)c1ccc(-c2ccccc2)cc1)c1ccc(O[C@H]2C3CC4CC2C[C@](C(=O)O)(C4)C3)cc1;5;0.000000005;8.301029996
O=C(O)[C@H]1CC[C@@H](OC2CCN(c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)CC2)CC1;11;0.000000011;7.958607315
O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(-c4nc5cc(Cl)ccc5[nH]4)cn3)cc2)CC1;1;0.000000001;9
CS(=O)(=O)c1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@H](C(=O)O)CC5)nc4)nc3)nc2c1;727;0.000000727;6.138465589
N#Cc1ccc2[nH]c(-c3ccc(-c4ccc(O[C@H]5CC[C@H](C(=O)O)CC5)nc4)nc3)nc2c1;96;0.000000096;7.017728767
Nc1ncnc2c1C(=O)N(c1ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc1)CCO2;88;0.000000088;7.055517328
